Nom Complet,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nascut a Espanya,Data_naixement,Edat,Increment_num
Laia Castells Ferrer,Laia,Castells Ferrer,Espanya,Sevilla,23,6,1986,Dona,1219.23,Sí,Grup B,True,1986-06-23,39,0.035
Arnau Martínez Martínez,Arnau,Martínez Martínez,Espanya,Sevilla,6,12,1960,Home,1851.61,No,Grup B,True,1960-12-06,65,0.035
Marc Romero,Marc,Romero,Espanya,Sevilla,2,11,1975,Home,1623.92,No,Grup B,True,1975-11-02,50,0.035
Núria Martínez Castells,Núria,Martínez Castells,Espanya,Sevilla,8,12,1962,Dona,1345.5,No,Grup B,True,1962-12-08,63,0.035
Núria Castells Ferrer,Núria,Castells Ferrer,Espanya,Sevilla,13,10,2005,Dona,2130.03,No,Grup B,True,2005-10-13,20,0.035
Marta López López,Marta,López López,Espanya,Sevilla,24,2,1986,Dona,1337.22,No,Grup B,True,1986-02-24,40,0.035
Pau López Martínez,Pau,López Martínez,Espanya,Sevilla,17,12,1958,Home,1458.31,No,Grup B,True,1958-12-17,67,0.035
Núria López,Núria,López,Espanya,Sevilla,14,4,1969,Dona,1848.51,No,Grup B,True,1969-04-14,56,0.035
Oriol Sánchez,Oriol,Sánchez,Espanya,Sevilla,1,4,1969,Home,1472.8,No,Grup B,True,1969-04-01,56,0.035
Marta Romero Romero,Marta,Romero Romero,Espanya,Sevilla,24,9,1991,Dona,1687.05,No,Grup B,True,1991-09-24,34,0.035
Pau García López,Pau,García López,Espanya,Sevilla,22,8,1996,Home,1395.18,Sí,Grup B,True,1996-08-22,29,0.035
Laia Romero,Laia,Romero,Espanya,Sevilla,16,11,1962,Dona,1253.38,Sí,Grup B,True,1962-11-16,63,0.035
Joan García,Joan,García,Espanya,Sevilla,23,3,2003,NC,1651.86,Sí,Grup B,True,2003-03-23,22,0.035
Marta Ferrer Ferrer,Marta,Ferrer Ferrer,Espanya,Sevilla,1,6,1951,Dona,1258.56,No,Grup B,True,1951-06-01,74,0.035
Clara Sánchez López,Clara,Sánchez López,Espanya,València,27,7,1955,Dona,2083.46,Sí,Grup B,True,1955-07-27,70,0.035
Anna Castells Romero,Anna,Castells Romero,Espanya,València,25,8,1978,Dona,1730.52,No,Grup B,True,1978-08-25,47,0.035
Marta Romero,Marta,Romero,Espanya,València,25,11,2002,Dona,1302.03,No,Grup B,True,2002-11-25,23,0.035
Arnau García,Arnau,García,Espanya,València,2,1,1954,Home,2200.41,No,Grup B,True,1954-01-02,72,0.035
Toni Castells,Toni,Castells,Espanya,València,1,4,1963,Home,1825.74,Sí,Grup B,True,1963-04-01,62,0.035
Anna Castells Martínez,Anna,Castells Martínez,Espanya,València,3,4,1991,Dona,1463.49,No,Grup B,True,1991-04-03,34,0.035
Oriol López,Oriol,López,Espanya,València,27,6,2002,Home,1353.78,No,Grup B,True,2002-06-27,23,0.035
Jordi Ferrer,Jordi,Ferrer,Espanya,València,21,6,1967,Home,1376.55,Sí,Grup B,True,1967-06-21,58,0.035
Anna Ferrer,Anna,Ferrer,Espanya,València,6,10,1984,Dona,1584.58,Sí,Grup B,True,1984-10-06,41,0.035
Eva Romero Ferrer,Eva,Romero Ferrer,Espanya,València,7,12,1965,Dona,1926.13,No,Grup B,True,1965-12-07,60,0.035
Toni Romero,Toni,Romero,Espanya,València,19,1,1974,Home,1501.78,No,Grup B,True,1974-01-19,52,0.035
Arnau Romero Romero,Arnau,Romero Romero,Espanya,València,8,10,1968,Home,1874.38,No,Grup B,True,1968-10-08,57,0.035
Anna Sánchez,Anna,Sánchez,Espanya,València,25,2,1981,Dona,1242.0,No,Grup B,True,1981-02-25,45,0.035
Joan Sánchez,Joan,Sánchez,Espanya,València,9,8,1997,Home,2383.6,Sí,Grup B,True,1997-08-09,28,0.035
Núria Castells,Núria,Castells,Espanya,València,25,12,1992,Dona,2093.8,Sí,Grup B,True,1992-12-25,33,0.035
Marta Romero García,Marta,Romero García,Espanya,València,3,4,1972,Altres,1397.25,Sí,Grup B,True,1972-04-03,53,0.035
Marta Ferrer Sánchez,Marta,Ferrer Sánchez,Espanya,València,18,3,1952,Dona,1344.46,Sí,Grup B,True,1952-03-18,74,0.035
Arnau García,Arnau,García,Espanya,València,11,2,1953,Home,1952.01,No,Grup B,True,1953-02-11,73,0.035
Núria Romero Martínez,Núria,Romero Martínez,Espanya,València,16,3,2004,Dona,1426.23,Sí,Grup B,True,2004-03-16,22,0.035
Marc Ferrer García,Marc,Ferrer García,Espanya,València,21,4,1996,Home,1674.63,No,Grup B,True,1996-04-21,29,0.035
Toni Castells Romero,Toni,Castells Romero,Espanya,València,26,8,1988,Home,1337.22,Sí,Grup B,True,1988-08-26,37,0.035
Toni Castells,Toni,Castells,Espanya,València,4,9,1964,Home,1342.4,No,Grup B,True,1964-09-04,61,0.035
Arnau Ferrer Romero,Arnau,Ferrer Romero,Espanya,València,13,7,1958,Home,1848.51,Sí,Grup B,True,1958-07-13,67,0.035
Carla Martínez,Carla,Martínez,Espanya,València,17,4,1999,Dona,1325.83,No,Grup B,True,1999-04-17,26,0.035
Marta García,Marta,García,Espanya,València,14,5,1976,Dona,1637.37,No,Grup B,True,1976-05-14,49,0.035
Eva Ferrer Ferrer,Eva,Ferrer Ferrer,Espanya,València,24,12,1979,Dona,1642.54,No,Grup B,True,1979-12-24,46,0.035
Carla Sánchez,Carla,Sánchez,Espanya,València,17,8,1975,Dona,1560.78,Sí,Grup B,True,1975-08-17,50,0.035
Eva López Sánchez,Eva,López Sánchez,Espanya,València,25,4,1987,Dona,2159.01,No,Grup B,True,1987-04-25,38,0.035
Jordi García Castells,Jordi,García Castells,Espanya,València,4,7,1970,Home,1912.68,Sí,Grup B,True,1970-07-04,55,0.035
Núria Martínez,Núria,Martínez,Espanya,València,26,9,1958,Dona,1978.92,No,Grup B,True,1958-09-26,67,0.035
Toni Sánchez Sánchez,Toni,Sánchez Sánchez,Espanya,València,20,1,1989,Home,2373.25,No,Grup B,True,1989-01-20,37,0.035
Joan López,Joan,López,Espanya,València,15,10,1982,Home,2370.15,No,Grup B,True,1982-10-15,43,0.035
Laia López López,Laia,López López,Espanya,València,8,5,1962,Dona,1281.33,Sí,Grup B,True,1962-05-08,63,0.035
Clara Martínez Romero,Clara,Martínez Romero,Espanya,València,1,10,1975,Dona,2047.23,Sí,Grup B,True,1975-10-01,50,0.035
Jordi Martínez Ferrer,Jordi,Martínez Ferrer,Espanya,València,17,6,1950,Home,2360.84,Sí,Grup B,True,1950-06-17,75,0.035
Laia Sánchez Sánchez,Laia,Sánchez Sánchez,Espanya,València,25,9,1995,NC,1403.46,No,Grup B,True,1995-09-25,30,0.035
Arnau García Ferrer,Arnau,García Ferrer,Espanya,València,20,1,1951,Home,2116.57,No,Grup B,True,1951-01-20,75,0.035
Pau Ferrer Ferrer,Pau,Ferrer Ferrer,Espanya,València,9,11,1991,Home,1444.86,Sí,Grup B,True,1991-11-09,34,0.035
Eva Sánchez,Eva,Sánchez,Espanya,València,18,2,1971,Dona,2160.04,No,Grup B,True,1971-02-18,55,0.035
Oriol Martínez,Oriol,Martínez,Espanya,València,21,12,1986,Home,1826.78,No,Grup B,True,1986-12-21,39,0.035
Joan Romero García,Joan,Romero García,Espanya,València,4,3,1956,Home,2293.56,No,Grup B,True,1956-03-04,70,0.035
Joan López,Joan,López,Espanya,València,28,3,1995,Home,2227.32,No,Grup B,True,1995-03-28,30,0.035
Anna García,Anna,García,Espanya,València,22,11,1976,Dona,1605.28,Sí,Grup B,True,1976-11-22,49,0.035
Anna López López,Anna,López López,Espanya,València,7,7,1988,Dona,1375.52,Sí,Grup B,True,1988-07-07,37,0.035
Carla Ferrer Martínez,Carla,Ferrer Martínez,Espanya,València,3,5,1992,Dona,1773.99,No,Grup B,True,1992-05-03,33,0.035
Camille Moreau Moreau,Camille,Moreau Moreau,França,Lió,16,7,1993,Dona,2030.67,No,Grup B,False,1993-07-16,32,0.035
Chloé Moreau,Chloé,Moreau,França,Lió,21,2,1989,Dona,1491.44,No,Grup B,False,1989-02-21,37,0.035
Michel Moreau,Michel,Moreau,França,Lió,12,12,1992,Home,2072.07,Sí,Grup B,False,1992-12-12,33,0.035
Chloé Lefevre,Chloé,Lefevre,França,Marsella,10,9,1973,Dona,1967.54,Sí,Grup B,False,1973-09-10,52,0.035
Chloé Girard,Chloé,Girard,França,Marsella,17,4,1977,Dona,2054.48,Sí,Grup B,False,1977-04-17,48,0.035
Sophie Moreau Lefevre,Sophie,Moreau Lefevre,França,Marsella,11,1,1995,Dona,1802.97,Sí,Grup B,False,1995-01-11,31,0.035
Antoine Lefevre,Antoine,Lefevre,França,Marsella,1,10,1953,Home,1806.07,No,Grup B,False,1953-10-01,72,0.035
Jean Dubois Moreau,Jean,Dubois Moreau,França,Marsella,7,12,1967,Home,2008.94,No,Grup B,False,1967-12-07,58,0.035
Antoine Lefevre Girard,Antoine,Lefevre Girard,França,Marsella,22,12,1981,Home,1676.7,Sí,Grup B,False,1981-12-22,44,0.035
Michel Moreau,Michel,Moreau,França,Marsella,27,6,1978,Home,2157.98,Sí,Grup B,False,1978-06-27,47,0.035
Jean Girard Moreau,Jean,Girard Moreau,França,París,26,9,1991,NC,1628.05,Sí,Grup B,False,1991-09-26,34,0.035
Camille Girard Lefevre,Camille,Girard Lefevre,França,París,26,1,2001,Dona,1574.24,Sí,Grup B,False,2001-01-26,25,0.035
Giulia Conti,Giulia,Conti,Itàlia,Roma,8,7,1998,Dona,2036.88,Sí,Grup B,False,1998-07-08,27,0.035
Marco Conti Rossi,Marco,Conti Rossi,Itàlia,Roma,4,1,1986,Home,1500.75,No,Grup B,False,1986-01-04,40,0.035
Chiara Russo Conti,Chiara,Russo Conti,Itàlia,Roma,6,11,1985,Altres,1491.44,Sí,Grup B,False,1985-11-06,40,0.035
Alessia Russo Russo,Alessia,Russo Russo,Itàlia,Roma,14,2,1983,Dona,1405.53,No,Grup B,False,1983-02-14,43,0.035
Marco Russo,Marco,Russo,Itàlia,Torí,13,7,1982,Home,2270.79,No,Grup B,False,1982-07-13,43,0.035
Marco Conti Russo,Marco,Conti Russo,Itàlia,Torí,28,1,2005,Home,2072.07,No,Grup B,False,2005-01-28,21,0.035
Francesca Ferrari Ferrari,Francesca,Ferrari Ferrari,Itàlia,Torí,21,4,1990,NC,1362.06,No,Grup B,False,1990-04-21,35,0.035
Giovanni Ferrari,Giovanni,Ferrari,Itàlia,Torí,8,2,1964,Home,1519.38,No,Grup B,False,1964-02-08,62,0.035
Giulia Russo,Giulia,Russo,Itàlia,Torí,14,6,2005,Dona,1447.96,Sí,Grup B,False,2005-06-14,20,0.035
Fatima Fassi,Fatima,Fassi,Marroc,Casablanca,18,3,1958,Dona,1194.39,No,Grup B,False,1958-03-18,68,0.035
Mohamed El Amrani Zahraoui,Mohamed,El Amrani Zahraoui,Marroc,Casablanca,12,8,1984,Altres,1599.07,Sí,Grup B,False,1984-08-12,41,0.035
Ali Bennani,Ali,Bennani,Marroc,Casablanca,22,3,1980,Home,2235.6,Sí,Grup B,False,1980-03-22,45,0.035
Salma Zahraoui,Salma,Zahraoui,Marroc,Casablanca,18,4,1999,Dona,1213.02,No,Grup B,False,1999-04-18,26,0.035
Khadija Bennani Bennani,Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Dona,2012.04,No,Grup B,False,1995-01-20,31,0.035
Khadija Fassi,Khadija,Fassi,Marroc,Rabat,10,5,1970,Dona,1471.77,No,Grup B,False,1970-05-10,55,0.035
Youssef El Amrani Fassi,Youssef,El Amrani Fassi,Marroc,Rabat,13,10,1981,Home,1847.48,No,Grup B,False,1981-10-13,44,0.035
Ali El Amrani El Amrani,Ali,El Amrani El Amrani,Marroc,Rabat,4,5,1971,Home,2201.44,No,Grup B,False,1971-05-04,54,0.035
Gabriela González,Gabriela,González,Mèxic,Ciutat de Mèxic,17,6,1955,Dona,1668.42,Sí,Grup B,False,1955-06-17,70,0.035
José González Ramírez,José,González Ramírez,Mèxic,Ciutat de Mèxic,2,3,1955,Home,1735.7,No,Grup B,False,1955-03-02,71,0.035
Luisa González Cruz,Luisa,González Cruz,Mèxic,Ciutat de Mèxic,20,11,1990,Dona,1243.03,Sí,Grup B,False,1990-11-20,35,0.035
María González Hernández,María,González Hernández,Mèxic,Ciutat de Mèxic,14,7,1965,Dona,1671.52,No,Grup B,False,1965-07-14,60,0.035
Gabriela Ramírez,Gabriela,Ramírez,Mèxic,Ciutat de Mèxic,19,2,1990,Dona,1623.92,Sí,Grup B,False,1990-02-19,36,0.035
Gabriela Ramírez González,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,26,3,1988,Dona,1262.7,No,Grup B,False,1988-03-26,37,0.035
Miguel González Cruz,Miguel,González Cruz,Mèxic,Ciutat de Mèxic,7,8,1965,Home,2122.78,No,Grup B,False,1965-08-07,60,0.035
Gabriela González Cruz,Gabriela,González Cruz,Mèxic,Ciutat de Mèxic,20,2,1985,NC,1638.4,No,Grup B,False,1985-02-20,41,0.035
Andrés González,Andrés,González,Mèxic,Guadalajara,26,2,1992,Home,2358.76,Sí,Grup B,False,1992-02-26,34,0.035
Camila Ramírez González,Camila,Ramírez González,Mèxic,Guadalajara,10,4,1965,Dona,1917.85,No,Grup B,False,1965-04-10,60,0.035
Andrés González,Andrés,González,Mèxic,Guadalajara,13,10,1977,Home,1794.69,No,Grup B,False,1977-10-13,48,0.035
Carlos Ramírez,Carlos,Ramírez,Mèxic,Guadalajara,21,3,1959,Home,1516.28,Sí,Grup B,False,1959-03-21,66,0.035
Inês Ferreira Silva,Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Dona,1184.04,No,Grup B,False,1953-02-25,73,0.035
Beatriz Oliveira Ferreira,Beatriz,Oliveira Ferreira,Portugal,Lisboa,5,9,1985,Dona,1602.18,Sí,Grup B,False,1985-09-05,40,0.035
Sofia Oliveira,Sofia,Oliveira,Portugal,Lisboa,2,4,1998,Dona,2076.21,No,Grup B,False,1998-04-02,27,0.035
Sofia Silva Oliveira,Sofia,Silva Oliveira,Portugal,Lisboa,13,8,1977,NC,1499.72,No,Grup B,False,1977-08-13,48,0.035
Rui Oliveira Silva,Rui,Oliveira Silva,Portugal,Lisboa,25,8,1992,Home,1727.42,No,Grup B,False,1992-08-25,33,0.035
Rui Silva Silva,Rui,Silva Silva,Portugal,Lisboa,6,5,1958,Home,1311.34,No,Grup B,False,1958-05-06,67,0.035
Sofia Oliveira,Sofia,Oliveira,Portugal,Porto,5,7,1952,Dona,1462.46,No,Grup B,False,1952-07-05,73,0.035
Maria Pereira Pereira,Maria,Pereira Pereira,Portugal,Porto,19,6,1980,Dona,1730.52,No,Grup B,False,1980-06-19,45,0.035
Beatriz Ferreira,Beatriz,Ferreira,Portugal,Porto,11,5,1950,Altres,1629.09,Sí,Grup B,False,1950-05-11,75,0.035
Maria Ferreira Ferreira,Maria,Ferreira Ferreira,Portugal,Porto,4,3,1996,Dona,1962.36,Sí,Grup B,False,1996-03-04,30,0.035
João Silva,João,Silva,Portugal,Porto,23,10,1970,Home,2053.44,Sí,Grup B,False,1970-10-23,55,0.035
Emily Jones,Emily,Jones,Regne Unit,Londres,15,11,1969,Dona,1318.59,No,Grup B,False,1969-11-15,56,0.035
George Jones Taylor,George,Jones Taylor,Regne Unit,Londres,27,5,2000,NC,2173.5,No,Grup B,False,2000-05-27,25,0.035
William Smith Smith,William,Smith Smith,Regne Unit,Londres,1,12,1952,Home,1700.5,Sí,Grup B,False,1952-12-01,73,0.035
Sophie Taylor Smith,Sophie,Taylor Smith,Regne Unit,Londres,26,12,2005,Dona,1721.2,No,Grup B,False,2005-12-26,20,0.035
Isla Jones,Isla,Jones,Regne Unit,Manchester,26,6,1985,Dona,1461.42,Sí,Grup B,False,1985-06-26,40,0.035
Sophie Smith,Sophie,Smith,Regne Unit,Manchester,8,1,1957,Dona,1297.89,Sí,Grup B,False,1957-01-08,69,0.035
Emily Taylor Jones,Emily,Taylor Jones,Regne Unit,Manchester,28,3,1958,Dona,2104.15,No,Grup B,False,1958-03-28,67,0.035
